state,pollster_id,pollster,fte_grade,sample_size,population,methodology,end_date,nationwide_batch,answer,candidate_party,pct,committee_id
South Carolina,1193,SurveyMonkey,D-,4109.0,rv,Online,10/21/2020,False,Biden,DEM,46.0,C00703975
South Carolina,1193,SurveyMonkey,D-,4109.0,rv,Online,10/21/2020,False,Trump,REP,51.0,C00580100
South Carolina,1193,SurveyMonkey,D-,4109.0,lv,Online,10/21/2020,False,Biden,DEM,44.0,C00703975
South Carolina,1193,SurveyMonkey,D-,4109.0,lv,Online,10/21/2020,False,Trump,REP,53.0,C00580100
Pennsylvania,1193,SurveyMonkey,D-,9301.0,rv,Online,10/21/2020,False,Biden,DEM,52.0,C00703975
Pennsylvania,1193,SurveyMonkey,D-,9301.0,rv,Online,10/21/2020,False,Trump,REP,45.0,C00580100
Pennsylvania,1193,SurveyMonkey,D-,9301.0,lv,Online,10/21/2020,False,Biden,DEM,52.0,C00703975
Pennsylvania,1193,SurveyMonkey,D-,9301.0,lv,Online,10/21/2020,False,Trump,REP,46.0,C00580100
Oregon,1193,SurveyMonkey,D-,4512.0,rv,Online,10/21/2020,False,Biden,DEM,60.0,C00703975
Oregon,1193,SurveyMonkey,D-,4512.0,rv,Online,10/21/2020,False,Trump,REP,39.0,C00580100
Oregon,1193,SurveyMonkey,D-,4512.0,lv,Online,10/21/2020,False,Biden,DEM,61.0,C00703975
Oregon,1193,SurveyMonkey,D-,4512.0,lv,Online,10/21/2020,False,Trump,REP,38.0,C00580100
Oklahoma,1193,SurveyMonkey,D-,2471.0,rv,Online,10/21/2020,False,Biden,DEM,42.0,C00703975
Oklahoma,1193,SurveyMonkey,D-,2471.0,rv,Online,10/21/2020,False,Trump,REP,57.0,C00580100
Oklahoma,1193,SurveyMonkey,D-,2471.0,lv,Online,10/21/2020,False,Biden,DEM,41.0,C00703975
Oklahoma,1193,SurveyMonkey,D-,2471.0,lv,Online,10/21/2020,False,Trump,REP,58.0,C00580100
Ohio,1193,SurveyMonkey,D-,7033.0,rv,Online,10/21/2020,False,Biden,DEM,48.0,C00703975
Ohio,1193,SurveyMonkey,D-,7033.0,rv,Online,10/21/2020,False,Trump,REP,50.0,C00580100
Ohio,1193,SurveyMonkey,D-,7033.0,lv,Online,10/21/2020,False,Biden,DEM,48.0,C00703975
Ohio,1193,SurveyMonkey,D-,7033.0,lv,Online,10/21/2020,False,Trump,REP,51.0,C00580100
New York,1193,SurveyMonkey,D-,9873.0,rv,Online,10/21/2020,False,Biden,DEM,65.0,C00703975
New York,1193,SurveyMonkey,D-,9873.0,rv,Online,10/21/2020,False,Trump,REP,32.0,C00580100
New York,1193,SurveyMonkey,D-,9873.0,lv,Online,10/21/2020,False,Biden,DEM,65.0,C00703975
New York,1193,SurveyMonkey,D-,9873.0,lv,Online,10/21/2020,False,Trump,REP,32.0,C00580100
Nevada,1193,SurveyMonkey,D-,2746.0,rv,Online,10/21/2020,False,Biden,DEM,52.0,C00703975
Nevada,1193,SurveyMonkey,D-,2746.0,rv,Online,10/21/2020,False,Trump,REP,46.0,C00580100
Nevada,1193,SurveyMonkey,D-,2746.0,lv,Online,10/21/2020,False,Biden,DEM,51.0,C00703975
Nevada,1193,SurveyMonkey,D-,2746.0,lv,Online,10/21/2020,False,Trump,REP,48.0,C00580100
New Mexico,1193,SurveyMonkey,D-,2319.0,rv,Online,10/21/2020,False,Biden,DEM,52.0,C00703975
New Mexico,1193,SurveyMonkey,D-,2319.0,rv,Online,10/21/2020,False,Trump,REP,46.0,C00580100
New Mexico,1193,SurveyMonkey,D-,2319.0,lv,Online,10/21/2020,False,Biden,DEM,53.0,C00703975
New Mexico,1193,SurveyMonkey,D-,2319.0,lv,Online,10/21/2020,False,Trump,REP,46.0,C00580100
New Jersey,1193,SurveyMonkey,D-,5497.0,rv,Online,10/21/2020,False,Biden,DEM,61.0,C00703975
New Jersey,1193,SurveyMonkey,D-,5497.0,rv,Online,10/21/2020,False,Trump,REP,35.0,C00580100
New Jersey,1193,SurveyMonkey,D-,5497.0,lv,Online,10/21/2020,False,Biden,DEM,61.0,C00703975
New Jersey,1193,SurveyMonkey,D-,5497.0,lv,Online,10/21/2020,False,Trump,REP,36.0,C00580100
New Hampshire,1193,SurveyMonkey,D-,1508.0,rv,Online,10/21/2020,False,Biden,DEM,56.0,C00703975
New Hampshire,1193,SurveyMonkey,D-,1508.0,rv,Online,10/21/2020,False,Trump,REP,42.0,C00580100
New Hampshire,1193,SurveyMonkey,D-,1508.0,lv,Online,10/21/2020,False,Biden,DEM,56.0,C00703975
New Hampshire,1193,SurveyMonkey,D-,1508.0,lv,Online,10/21/2020,False,Trump,REP,42.0,C00580100
Nebraska,1193,SurveyMonkey,D-,1630.0,rv,Online,10/21/2020,False,Biden,DEM,46.0,C00703975
Nebraska,1193,SurveyMonkey,D-,1630.0,rv,Online,10/21/2020,False,Trump,REP,52.0,C00580100
Nebraska,1193,SurveyMonkey,D-,1630.0,lv,Online,10/21/2020,False,Biden,DEM,45.0,C00703975
Nebraska,1193,SurveyMonkey,D-,1630.0,lv,Online,10/21/2020,False,Trump,REP,53.0,C00580100
North Carolina,1193,SurveyMonkey,D-,7119.0,rv,Online,10/21/2020,False,Biden,DEM,53.0,C00703975
North Carolina,1193,SurveyMonkey,D-,7119.0,rv,Online,10/21/2020,False,Trump,REP,45.0,C00580100
North Carolina,1193,SurveyMonkey,D-,7119.0,lv,Online,10/21/2020,False,Biden,DEM,52.0,C00703975
North Carolina,1193,SurveyMonkey,D-,7119.0,lv,Online,10/21/2020,False,Trump,REP,46.0,C00580100
Mississippi,1193,SurveyMonkey,D-,1541.0,rv,Online,10/21/2020,False,Biden,DEM,43.0,C00703975
Mississippi,1193,SurveyMonkey,D-,1541.0,rv,Online,10/21/2020,False,Trump,REP,55.0,C00580100
Mississippi,1193,SurveyMonkey,D-,1541.0,lv,Online,10/21/2020,False,Biden,DEM,37.0,C00703975
Mississippi,1193,SurveyMonkey,D-,1541.0,lv,Online,10/21/2020,False,Trump,REP,61.0,C00580100
Minnesota,1193,SurveyMonkey,D-,4816.0,rv,Online,10/21/2020,False,Biden,DEM,55.0,C00703975
Minnesota,1193,SurveyMonkey,D-,4816.0,rv,Online,10/21/2020,False,Trump,REP,42.0,C00580100
Minnesota,1193,SurveyMonkey,D-,4816.0,lv,Online,10/21/2020,False,Biden,DEM,56.0,C00703975
Minnesota,1193,SurveyMonkey,D-,4816.0,lv,Online,10/21/2020,False,Trump,REP,42.0,C00580100
Michigan,1193,SurveyMonkey,D-,6607.0,rv,Online,10/21/2020,False,Biden,DEM,53.0,C00703975
Michigan,1193,SurveyMonkey,D-,6607.0,rv,Online,10/21/2020,False,Trump,REP,44.0,C00580100
Michigan,1193,SurveyMonkey,D-,6607.0,lv,Online,10/21/2020,False,Biden,DEM,53.0,C00703975
Michigan,1193,SurveyMonkey,D-,6607.0,lv,Online,10/21/2020,False,Trump,REP,44.0,C00580100
Maine,1193,SurveyMonkey,D-,1649.0,rv,Online,10/21/2020,False,Biden,DEM,56.0,C00703975
Maine,1193,SurveyMonkey,D-,1649.0,rv,Online,10/21/2020,False,Trump,REP,42.0,C00580100
Maine,1193,SurveyMonkey,D-,1649.0,lv,Online,10/21/2020,False,Biden,DEM,56.0,C00703975
Maine,1193,SurveyMonkey,D-,1649.0,lv,Online,10/21/2020,False,Trump,REP,43.0,C00580100
Maryland,1193,SurveyMonkey,D-,4892.0,rv,Online,10/21/2020,False,Biden,DEM,67.0,C00703975
Maryland,1193,SurveyMonkey,D-,4892.0,rv,Online,10/21/2020,False,Trump,REP,30.0,C00580100
Maryland,1193,SurveyMonkey,D-,4892.0,lv,Online,10/21/2020,False,Biden,DEM,67.0,C00703975
Maryland,1193,SurveyMonkey,D-,4892.0,lv,Online,10/21/2020,False,Trump,REP,32.0,C00580100
Massachusetts,1193,SurveyMonkey,D-,5030.0,rv,Online,10/21/2020,False,Biden,DEM,69.0,C00703975
Massachusetts,1193,SurveyMonkey,D-,5030.0,rv,Online,10/21/2020,False,Trump,REP,28.0,C00580100
Massachusetts,1193,SurveyMonkey,D-,5030.0,lv,Online,10/21/2020,False,Biden,DEM,70.0,C00703975
Massachusetts,1193,SurveyMonkey,D-,5030.0,lv,Online,10/21/2020,False,Trump,REP,28.0,C00580100
Kentucky,1193,SurveyMonkey,D-,3136.0,rv,Online,10/21/2020,False,Biden,DEM,41.0,C00703975
Kentucky,1193,SurveyMonkey,D-,3136.0,rv,Online,10/21/2020,False,Trump,REP,57.0,C00580100
Kentucky,1193,SurveyMonkey,D-,3136.0,lv,Online,10/21/2020,False,Biden,DEM,42.0,C00703975
Kentucky,1193,SurveyMonkey,D-,3136.0,lv,Online,10/21/2020,False,Trump,REP,57.0,C00580100
Indiana,1193,SurveyMonkey,D-,4255.0,rv,Online,10/21/2020,False,Biden,DEM,44.0,C00703975
Indiana,1193,SurveyMonkey,D-,4255.0,rv,Online,10/21/2020,False,Trump,REP,53.0,C00580100
Indiana,1193,SurveyMonkey,D-,4255.0,lv,Online,10/21/2020,False,Biden,DEM,44.0,C00703975
Indiana,1193,SurveyMonkey,D-,4255.0,lv,Online,10/21/2020,False,Trump,REP,54.0,C00580100
Illinois,1193,SurveyMonkey,D-,7554.0,rv,Online,10/21/2020,False,Biden,DEM,58.0,C00703975
Illinois,1193,SurveyMonkey,D-,7554.0,rv,Online,10/21/2020,False,Trump,REP,38.0,C00580100
Illinois,1193,SurveyMonkey,D-,7554.0,lv,Online,10/21/2020,False,Biden,DEM,58.0,C00703975
Illinois,1193,SurveyMonkey,D-,7554.0,lv,Online,10/21/2020,False,Trump,REP,39.0,C00580100
Idaho,1193,SurveyMonkey,D-,1607.0,rv,Online,10/21/2020,False,Biden,DEM,40.0,C00703975
Idaho,1193,SurveyMonkey,D-,1607.0,rv,Online,10/21/2020,False,Trump,REP,58.0,C00580100
Idaho,1193,SurveyMonkey,D-,1607.0,lv,Online,10/21/2020,False,Biden,DEM,40.0,C00703975
Idaho,1193,SurveyMonkey,D-,1607.0,lv,Online,10/21/2020,False,Trump,REP,57.0,C00580100
Iowa,1193,SurveyMonkey,D-,2654.0,rv,Online,10/21/2020,False,Biden,DEM,49.0,C00703975
Iowa,1193,SurveyMonkey,D-,2654.0,rv,Online,10/21/2020,False,Trump,REP,49.0,C00580100
Iowa,1193,SurveyMonkey,D-,2654.0,lv,Online,10/21/2020,False,Biden,DEM,49.0,C00703975
Iowa,1193,SurveyMonkey,D-,2654.0,lv,Online,10/21/2020,False,Trump,REP,50.0,C00580100
Hawaii,1193,SurveyMonkey,D-,1088.0,rv,Online,10/21/2020,False,Biden,DEM,63.0,C00703975
Hawaii,1193,SurveyMonkey,D-,1088.0,rv,Online,10/21/2020,False,Trump,REP,33.0,C00580100
Hawaii,1193,SurveyMonkey,D-,1088.0,lv,Online,10/21/2020,False,Biden,DEM,66.0,C00703975
Hawaii,1193,SurveyMonkey,D-,1088.0,lv,Online,10/21/2020,False,Trump,REP,32.0,C00580100
Georgia,1193,SurveyMonkey,D-,6420.0,rv,Online,10/21/2020,False,Biden,DEM,52.0,C00703975
Georgia,1193,SurveyMonkey,D-,6420.0,rv,Online,10/21/2020,False,Trump,REP,46.0,C00580100
Georgia,1193,SurveyMonkey,D-,6420.0,lv,Online,10/21/2020,False,Biden,DEM,49.0,C00703975
Georgia,1193,SurveyMonkey,D-,6420.0,lv,Online,10/21/2020,False,Trump,REP,49.0,C00580100
Florida,1193,SurveyMonkey,D-,14142.0,rv,Online,10/21/2020,False,Biden,DEM,49.0,C00703975
Florida,1193,SurveyMonkey,D-,14142.0,rv,Online,10/21/2020,False,Trump,REP,48.0,C00580100
Florida,1193,SurveyMonkey,D-,14142.0,lv,Online,10/21/2020,False,Biden,DEM,48.0,C00703975
Florida,1193,SurveyMonkey,D-,14142.0,lv,Online,10/21/2020,False,Trump,REP,50.0,C00580100
Delaware,1193,SurveyMonkey,D-,1120.0,rv,Online,10/21/2020,False,Biden,DEM,63.0,C00703975
Delaware,1193,SurveyMonkey,D-,1120.0,rv,Online,10/21/2020,False,Trump,REP,35.0,C00580100
Delaware,1193,SurveyMonkey,D-,1120.0,lv,Online,10/21/2020,False,Biden,DEM,63.0,C00703975
Delaware,1193,SurveyMonkey,D-,1120.0,lv,Online,10/21/2020,False,Trump,REP,36.0,C00580100
Washington DC,1193,SurveyMonkey,D-,825.0,rv,Online,10/21/2020,False,Biden,DEM,87.0,C00703975
Washington DC,1193,SurveyMonkey,D-,825.0,rv,Online,10/21/2020,False,Trump,REP,10.0,C00580100
Washington DC,1193,SurveyMonkey,D-,825.0,lv,Online,10/21/2020,False,Biden,DEM,88.0,C00703975
Washington DC,1193,SurveyMonkey,D-,825.0,lv,Online,10/21/2020,False,Trump,REP,9.0,C00580100
Connecticut,1193,SurveyMonkey,D-,3224.0,rv,Online,10/21/2020,False,Biden,DEM,61.0,C00703975
Connecticut,1193,SurveyMonkey,D-,3224.0,rv,Online,10/21/2020,False,Trump,REP,35.0,C00580100
Connecticut,1193,SurveyMonkey,D-,3224.0,lv,Online,10/21/2020,False,Biden,DEM,62.0,C00703975
Connecticut,1193,SurveyMonkey,D-,3224.0,lv,Online,10/21/2020,False,Trump,REP,36.0,C00580100
Colorado,1193,SurveyMonkey,D-,5545.0,rv,Online,10/21/2020,False,Biden,DEM,59.0,C00703975
Colorado,1193,SurveyMonkey,D-,5545.0,rv,Online,10/21/2020,False,Trump,REP,38.0,C00580100
Colorado,1193,SurveyMonkey,D-,5545.0,lv,Online,10/21/2020,False,Biden,DEM,58.0,C00703975
Colorado,1193,SurveyMonkey,D-,5545.0,lv,Online,10/21/2020,False,Trump,REP,40.0,C00580100
California,1193,SurveyMonkey,D-,22980.0,rv,Online,10/21/2020,False,Biden,DEM,62.0,C00703975
California,1193,SurveyMonkey,D-,22980.0,rv,Online,10/21/2020,False,Trump,REP,35.0,C00580100
California,1193,SurveyMonkey,D-,22980.0,lv,Online,10/21/2020,False,Biden,DEM,62.0,C00703975
California,1193,SurveyMonkey,D-,22980.0,lv,Online,10/21/2020,False,Trump,REP,36.0,C00580100
Arizona,1193,SurveyMonkey,D-,5852.0,rv,Online,10/21/2020,False,Biden,DEM,54.0,C00703975
Arizona,1193,SurveyMonkey,D-,5852.0,rv,Online,10/21/2020,False,Trump,REP,44.0,C00580100
Arizona,1193,SurveyMonkey,D-,5852.0,lv,Online,10/21/2020,False,Biden,DEM,53.0,C00703975
Arizona,1193,SurveyMonkey,D-,5852.0,lv,Online,10/21/2020,False,Trump,REP,46.0,C00580100
Arkansas,1193,SurveyMonkey,D-,1887.0,rv,Online,10/21/2020,False,Biden,DEM,41.0,C00703975
Arkansas,1193,SurveyMonkey,D-,1887.0,rv,Online,10/21/2020,False,Trump,REP,56.0,C00580100
Arkansas,1193,SurveyMonkey,D-,1887.0,lv,Online,10/21/2020,False,Biden,DEM,40.0,C00703975
Arkansas,1193,SurveyMonkey,D-,1887.0,lv,Online,10/21/2020,False,Trump,REP,58.0,C00580100
Alabama,1193,SurveyMonkey,D-,2985.0,rv,Online,10/21/2020,False,Biden,DEM,41.0,C00703975
Alabama,1193,SurveyMonkey,D-,2985.0,rv,Online,10/21/2020,False,Trump,REP,57.0,C00580100
Alabama,1193,SurveyMonkey,D-,2985.0,lv,Online,10/21/2020,False,Biden,DEM,38.0,C00703975
Alabama,1193,SurveyMonkey,D-,2985.0,lv,Online,10/21/2020,False,Trump,REP,60.0,C00580100
Vermont,1193,SurveyMonkey,D-,858.0,rv,Online,10/21/2020,False,Biden,DEM,65.0,C00703975
Vermont,1193,SurveyMonkey,D-,858.0,rv,Online,10/21/2020,False,Trump,REP,32.0,C00580100
Vermont,1193,SurveyMonkey,D-,858.0,lv,Online,10/21/2020,False,Biden,DEM,66.0,C00703975
Vermont,1193,SurveyMonkey,D-,858.0,lv,Online,10/21/2020,False,Trump,REP,32.0,C00580100
Texas,1193,SurveyMonkey,D-,14395.0,rv,Online,10/21/2020,False,Biden,DEM,49.0,C00703975
Texas,1193,SurveyMonkey,D-,14395.0,rv,Online,10/21/2020,False,Trump,REP,48.0,C00580100
Texas,1193,SurveyMonkey,D-,14395.0,lv,Online,10/21/2020,False,Biden,DEM,47.0,C00703975
Texas,1193,SurveyMonkey,D-,14395.0,lv,Online,10/21/2020,False,Trump,REP,51.0,C00580100
Rhode Island,1193,SurveyMonkey,D-,760.0,rv,Online,10/21/2020,False,Biden,DEM,68.0,C00703975
Rhode Island,1193,SurveyMonkey,D-,760.0,rv,Online,10/21/2020,False,Trump,REP,31.0,C00580100
Rhode Island,1193,SurveyMonkey,D-,760.0,lv,Online,10/21/2020,False,Biden,DEM,68.0,C00703975
Rhode Island,1193,SurveyMonkey,D-,760.0,lv,Online,10/21/2020,False,Trump,REP,31.0,C00580100
North Dakota,1193,SurveyMonkey,D-,535.0,rv,Online,10/21/2020,False,Biden,DEM,40.0,C00703975
North Dakota,1193,SurveyMonkey,D-,535.0,rv,Online,10/21/2020,False,Trump,REP,59.0,C00580100
North Dakota,1193,SurveyMonkey,D-,535.0,lv,Online,10/21/2020,False,Biden,DEM,40.0,C00703975
North Dakota,1193,SurveyMonkey,D-,535.0,lv,Online,10/21/2020,False,Trump,REP,59.0,C00580100
Montana,1193,SurveyMonkey,D-,1129.0,rv,Online,10/21/2020,False,Biden,DEM,45.0,C00703975
Montana,1193,SurveyMonkey,D-,1129.0,rv,Online,10/21/2020,False,Trump,REP,52.0,C00580100
Montana,1193,SurveyMonkey,D-,1129.0,lv,Online,10/21/2020,False,Biden,DEM,45.0,C00703975
Montana,1193,SurveyMonkey,D-,1129.0,lv,Online,10/21/2020,False,Trump,REP,53.0,C00580100
Missouri,1193,SurveyMonkey,D-,4216.0,rv,Online,10/21/2020,False,Biden,DEM,45.0,C00703975
Missouri,1193,SurveyMonkey,D-,4216.0,rv,Online,10/21/2020,False,Trump,REP,52.0,C00580100
Missouri,1193,SurveyMonkey,D-,4216.0,lv,Online,10/21/2020,False,Biden,DEM,45.0,C00703975
Missouri,1193,SurveyMonkey,D-,4216.0,lv,Online,10/21/2020,False,Trump,REP,53.0,C00580100
Louisiana,1193,SurveyMonkey,D-,2547.0,rv,Online,10/21/2020,False,Biden,DEM,43.0,C00703975
Louisiana,1193,SurveyMonkey,D-,2547.0,rv,Online,10/21/2020,False,Trump,REP,54.0,C00580100
Louisiana,1193,SurveyMonkey,D-,2547.0,lv,Online,10/21/2020,False,Biden,DEM,39.0,C00703975
Louisiana,1193,SurveyMonkey,D-,2547.0,lv,Online,10/21/2020,False,Trump,REP,59.0,C00580100
Kansas,1193,SurveyMonkey,D-,2922.0,rv,Online,10/21/2020,False,Biden,DEM,47.0,C00703975
Kansas,1193,SurveyMonkey,D-,2922.0,rv,Online,10/21/2020,False,Trump,REP,51.0,C00580100
Kansas,1193,SurveyMonkey,D-,2922.0,lv,Online,10/21/2020,False,Biden,DEM,47.0,C00703975
Kansas,1193,SurveyMonkey,D-,2922.0,lv,Online,10/21/2020,False,Trump,REP,51.0,C00580100
Alaska,1193,SurveyMonkey,D-,998.0,rv,Online,10/21/2020,False,Biden,DEM,44.0,C00703975
Alaska,1193,SurveyMonkey,D-,998.0,rv,Online,10/21/2020,False,Trump,REP,52.0,C00580100
Alaska,1193,SurveyMonkey,D-,998.0,lv,Online,10/21/2020,False,Biden,DEM,44.0,C00703975
Alaska,1193,SurveyMonkey,D-,998.0,lv,Online,10/21/2020,False,Trump,REP,53.0,C00580100
Kansas,383,Public Policy Polling,B,897.0,v,Live Phone/Text,10/20/2020,False,Biden,DEM,42.0,C00703975
Kansas,383,Public Policy Polling,B,897.0,v,Live Phone/Text,10/20/2020,False,Trump,REP,54.0,C00580100
Alaska,383,Public Policy Polling,B,800.0,v,Live Phone/Text,10/20/2020,False,Biden,DEM,45.0,C00703975
Alaska,383,Public Policy Polling,B,800.0,v,Live Phone/Text,10/20/2020,False,Trump,REP,50.0,C00580100
Kansas,1497,co/efficient,C/D,2453.0,lv,Live Phone/Text,10/20/2020,False,Biden,DEM,39.0,C00703975
Kansas,1497,co/efficient,C/D,2453.0,lv,Live Phone/Text,10/20/2020,False,Trump,REP,56.0,C00580100
Iowa,1424,Siena College/The New York Times Upshot,A+,753.0,lv,Live Phone,10/20/2020,False,Biden,DEM,46.0,C00703975
Iowa,1424,Siena College/The New York Times Upshot,A+,753.0,lv,Live Phone,10/20/2020,False,Trump,REP,43.0,C00580100
Kansas,1424,Siena College/The New York Times Upshot,A+,755.0,lv,Live Phone,10/20/2020,False,Biden,DEM,41.0,C00703975
Kansas,1424,Siena College/The New York Times Upshot,A+,755.0,lv,Live Phone,10/20/2020,False,Trump,REP,48.0,C00580100
Nevada,1447,Civiqs,B/C,712.0,lv,Online,10/20/2020,False,Biden,DEM,52.0,C00703975
Nevada,1447,Civiqs,B/C,712.0,lv,Online,10/20/2020,False,Trump,REP,43.0,C00580100
Florida,1447,Civiqs,B/C,863.0,lv,Online,10/20/2020,False,Biden,DEM,51.0,C00703975
Florida,1447,Civiqs,B/C,863.0,lv,Online,10/20/2020,False,Trump,REP,47.0,C00580100
Minnesota,1447,Civiqs,B/C,840.0,lv,Online,10/20/2020,False,Biden,DEM,53.0,C00703975
Minnesota,1447,Civiqs,B/C,840.0,lv,Online,10/20/2020,False,Trump,REP,43.0,C00580100
Michigan,590,Fox News/Beacon Research/Shaw & Co. Research,A-,1032.0,lv,Live Phone,10/20/2020,False,Biden,DEM,52.0,C00703975
Michigan,590,Fox News/Beacon Research/Shaw & Co. Research,A-,1032.0,lv,Live Phone,10/20/2020,False,Trump,REP,40.0,C00580100
Michigan,590,Fox News/Beacon Research/Shaw & Co. Research,A-,1104.0,rv,Live Phone,10/20/2020,False,Biden,DEM,51.0,C00703975
Michigan,590,Fox News/Beacon Research/Shaw & Co. Research,A-,1104.0,rv,Live Phone,10/20/2020,False,Trump,REP,40.0,C00580100
Ohio,590,Fox News/Beacon Research/Shaw & Co. Research,A-,1018.0,lv,Live Phone,10/20/2020,False,Biden,DEM,45.0,C00703975
Ohio,590,Fox News/Beacon Research/Shaw & Co. Research,A-,1018.0,lv,Live Phone,10/20/2020,False,Trump,REP,48.0,C00580100
